PID,CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,KA_name,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,mobile_ratio,fix_ratio
200386319,Bronze,SOHO,6000.0,VM,5,0.0,0.0,5,53.33,0.0,53.33,10.67,0,1.0,0.0
40105817,Bronze,SOHO,6100.0,DI,2,5.0,0.0,7,53.33,0.0,53.33,26.67,0,1.0,0.0
108034233,Bronze,SOHO,4270.0,AD,2,0.0,0.0,2,53.33,0.0,53.33,26.67,0,1.0,0.0
115263691,Iron,SOHO,4002.0,VT,6,0.0,0.0,6,53.5,0.0,53.5,8.92,0,1.0,0.0
123634705,Bronze,SOHO,6000.0,VM,2,1.0,0.0,3,53.5,0.0,53.5,26.75,0,1.0,0.0
123733335,Silver,VSE,6000.0,VM,6,0.0,0.0,6,53.5,0.0,53.5,8.92,0,1.0,0.0
200563762,Bronze,SOHO,6158.0,VM,4,1.0,0.0,5,53.5,0.0,53.5,13.38,0,1.0,0.0
833161937,Silver,SOHO,6000.0,VM,4,1.0,0.0,5,53.5,0.0,53.5,13.38,1,1.0,0.0
201869616,Bronze,SOHO,6000.0,UNKNOW,1,0.0,0.0,1,53.5,0.0,53.5,53.5,0,1.0,0.0
200868244,Bronze,SOHO,6900.0,RJ,3,0.0,0.0,3,53.5,0.0,53.5,17.83,0,1.0,0.0
104005437,Bronze,SOHO,4030.0,AD,5,0.0,0.0,5,53.67,0.0,53.67,10.73,0,1.0,0.0
115506271,Bronze,SOHO,4002.0,VU,2,1.0,0.0,3,53.67,0.0,53.67,26.84,0,1.0,0.0
200919557,Bronze,SOHO,6138.0,VM,5,0.0,0.0,5,53.67,0.0,53.67,10.73,0,1.0,0.0
123515811,Bronze,SOHO,6000.0,DI,3,0.0,0.0,3,53.67,0.0,53.67,17.89,0,1.0,0.0
126137808,Bronze,SOHO,6300.0,RJ,6,2.0,0.0,8,53.67,0.0,53.67,8.95,0,1.0,0.0
126096069,Bronze,SOHO,6500.0,RJ,4,0.0,0.0,4,53.83,0.0,53.83,13.46,0,1.0,0.0
126746271,Bronze,SOHO,6300.0,RJ,3,0.0,0.0,3,53.83,0.0,53.83,17.94,0,1.0,0.0
40125481,Bronze,SOHO,4000.0,AD,6,0.0,0.0,6,54.0,0.0,54.0,9.0,0,1.0,0.0
115708860,Bronze,SOHO,4000.0,AD,3,1.0,0.0,4,54.0,0.0,54.0,18.0,0,1.0,0.0
115181753,Bronze,SOHO,4004.0,VU,5,0.0,0.0,5,54.0,0.0,54.0,10.8,0,1.0,0.0
40257013,Silver,SOHO,4400.0,MT,3,1.0,0.0,4,54.0,0.0,54.0,18.0,0,1.0,0.0
123629423,Bronze,SOHO,6000.0,DI,3,0.0,0.0,3,54.17,0.0,54.17,18.06,0,1.0,0.0
112616662,Bronze,SOHO,4500.0,AD,3,0.0,0.0,3,54.17,0.0,54.17,18.06,0,1.0,0.0
112596018,Bronze,SOHO,4600.0,AD,5,0.0,0.0,5,54.33,0.0,54.33,10.87,0,1.0,0.0
200242315,Gold,VSE,4800.0,AD,7,32.0,0.0,39,54.33,0.0,54.33,7.76,0,1.0,0.0
112594138,Iron,SOHO,4400.0,MT,1,0.0,0.0,1,54.33,0.0,54.33,54.33,0,1.0,0.0
115189127,Bronze,SOHO,4000.0,VT,3,0.0,0.0,3,54.33,0.0,54.33,18.11,0,1.0,0.0
123717761,Bronze,SOHO,6000.0,DI,5,0.0,0.0,5,54.33,0.0,54.33,10.87,0,1.0,0.0
115185666,Iron,SOHO,4000.0,VU,4,0.0,0.0,4,54.5,0.0,54.5,13.63,0,1.0,0.0
123511791,Bronze,SOHO,6000.0,UNKNOW,2,0.0,0.0,2,54.5,0.0,54.5,27.25,0,1.0,0.0
200004221,Bronze,SOHO,6000.0,UNKNOW,4,0.0,0.0,4,54.5,0.0,54.5,13.63,0,1.0,0.0
123064109,Bronze,SOHO,6000.0,DI,5,0.0,1.0,6,54.67,0.0,54.67,10.93,0,1.0,0.0
126619078,Bronze,SOHO,6400.0,DI,3,0.0,0.0,3,54.67,0.0,54.67,18.22,0,1.0,0.0
123741382,Bronze,SOHO,6000.0,UNKNOW,3,0.0,0.0,3,54.67,0.0,54.67,18.22,0,1.0,0.0
126063763,Bronze,SOHO,6400.0,UNKNOW,5,2.0,0.0,7,54.67,0.0,54.67,10.93,0,1.0,0.0
200070577,Bronze,SOHO,6300.0,RJ,6,0.0,0.0,6,54.67,0.0,54.67,9.11,0,1.0,0.0
115029432,Bronze,SOHO,4004.0,AD,4,1.0,0.0,5,54.83,0.0,54.83,13.71,0,1.0,0.0
112594202,Bronze,SOHO,4600.0,VU,6,0.0,0.0,6,54.83,0.0,54.83,9.14,0,1.0,0.0
115517702,Bronze,SOHO,4030.0,VU,3,4.0,0.0,7,54.83,0.0,54.83,18.28,0,1.0,0.0
160055365,Bronze,SOHO,4000.0,VU,4,2.0,0.0,6,54.83,0.0,54.83,13.71,0,1.0,0.0
40001658,Bronze,SOHO,4300.0,VT,4,1.0,0.0,5,54.83,0.0,54.83,13.71,0,1.0,0.0
123637571,Iron,SOHO,6100.0,VM,3,0.0,0.0,3,54.83,0.0,54.83,18.28,0,1.0,0.0
40343398,Bronze,SOHO,6000.0,DI,3,2.0,0.0,5,54.83,0.0,54.83,18.28,0,1.0,0.0
40521541,Bronze,SOHO,6100.0,DI,2,0.0,0.0,2,54.83,0.0,54.83,27.42,0,1.0,0.0
112080037,Bronze,SOHO,4400.0,MT,2,3.0,0.0,5,55.0,0.0,55.0,27.5,0,1.0,0.0
836150611,Bronze,SOHO,6300.0,VM,6,2.0,0.0,8,55.0,0.0,55.0,9.17,0,1.0,0.0
123708066,Bronze,SOHO,6000.0,DI,3,0.0,0.0,3,55.0,0.0,55.0,18.33,0,1.0,0.0
123720595,Bronze,SOHO,6000.0,DI,4,0.0,0.0,4,55.0,0.0,55.0,13.75,0,1.0,0.0
115331338,Silver,SOHO,4003.0,AD,2,10.0,0.0,12,55.17,0.0,55.17,27.59,0,1.0,0.0
822031935,Silver,SOHO,4419.0,MT,2,10.0,0.0,12,55.17,0.0,55.17,27.59,0,1.0,0.0
825110213,Iron,SOHO,4000.0,VT,5,0.0,0.0,5,55.17,0.0,55.17,11.03,0,1.0,0.0
123750485,Bronze,SOHO,6000.0,VM,4,1.0,0.0,5,55.17,0.0,55.17,13.79,0,1.0,0.0
123727419,Bronze,SOHO,6000.0,DI,3,1.0,0.0,4,55.17,0.0,55.17,18.39,0,1.0,0.0
115167586,Bronze,SOHO,4000.0,AD,6,0.0,0.0,6,55.17,0.0,55.17,9.2,0,1.0,0.0
115857181,Bronze,SOHO,4250.0,AD,3,4.0,0.0,7,55.33,0.0,55.33,18.44,0,1.0,0.0
115166420,Bronze,SOHO,4000.0,VU,7,1.0,0.0,8,55.33,0.0,55.33,7.9,0,1.0,0.0
115262012,Bronze,SOHO,4000.0,VU,3,1.0,0.0,4,55.33,0.0,55.33,18.44,0,1.0,0.0
115503396,Bronze,SOHO,4330.0,VT,6,3.0,0.0,9,55.33,0.0,55.33,9.22,1,1.0,0.0
123673544,Bronze,SOHO,6000.0,DI,3,2.0,0.0,5,55.33,0.0,55.33,18.44,0,1.0,0.0
